"","entityName","loc","sic","sicDescription","2008Q2","2008Q3","2008Q4","2009Q1","2009Q2","2009Q3","2009Q4","2010Q1","2010Q2","2010Q3","2010Q4","2011Q1","2011Q2","2011Q3","2011Q4","2012Q1","2012Q2","2012Q3","2012Q4","2013Q1","2013Q2","2013Q3","2013Q4","2014Q1","2014Q2","2014Q3","2014Q4","2015Q1","2015Q2","2015Q3","2015Q4","2016Q1","2016Q2","2016Q3","2016Q4","2017Q1","2017Q2","2017Q3","2017Q4","2018Q1","2018Q2","2018Q3","2018Q4","2019Q1","2019Q2","2019Q3","2019Q4","2020Q1","2020Q2","2020Q3","2020Q4","2021Q1","2021Q2","2021Q3","2021Q4","2008Q1"
"216","CHASE GENERAL CORP","US-MO",2060,"Sugar & Confectionery Products",-23997.9998626525,132048482.934412,17810315.8950445,16372801.7775359,8795417.92054836,7866853.8882594,38213087.0777526,148826.88643773,87424.1398175687,39374,135994,-68849,-86843.1488627581,-35037,99743,-106933,-99309.8246871806,10551,140577,-55765,38970.4815659134,11137,135832,-57951,21571.2429984162,34701,142539,-34803,169134.741710456,-3746,72686,-78515,156840.965769167,-27927,-483,-114145,9858.60499871296,-56847,72394,-120457,-14402.3728702009,1292,182338,-182585,249657.246727976,4298,209649,-174264,-37699.5564724975,105863,398636,-90086,610485.244074911,47112,113705,NA
"217","EDUCATIONAL DEVELOPMENT CORPORATION","US-OK",5190,"Wholesale-Miscellaneous Nondurable Goods",-23985.1682318153,132048482.934412,17810315.8950445,16372801.7775359,8795310.84531341,7866730.76723902,38213087.0777526,148818.613351373,87423.5227619876,190200,776900,-112814.343229738,300200,126200,724900,-129013.578774163,350200,138200,525700,-82502.8525293513,66600,56400,547800,-313200,239700,-3900,526400,97000,324600,644400,1258500,-108200,620200,318500,1274200,824100,1225300,1036900,2128400,824100,1816600,1490700,2815600,555500,1363600,1007600,2735800,538100,1931100,4255000,4269600,2168300,3438100,1898200,2646600,NA
"218","ENNIS, INC.","US-TX",2761,"Manifold Business Forms",64142955.2300475,132048620.416995,17810198.549159,16372716.4193891,5066996.36639933,4403998.12692488,5249001.32303609,2564105.59757941,2168704.45234697,12129000,9643000,1480524.517328,11424000,9712000,6892000,3330000,3879000,7592000,6170000,7074000,8506000,9801000,9349000,-14467000,8032000,10016000,-71179000,8598000,8763000,9611000,8595000,4845000,6683000,6784000,5740000,7210000,7784000,8540000,8274000,8160000,9247000,9567000,10419000,8204000,9632000,9533000,10553000,8574000,4185000,6421000,8363000,6739438.94817104,7304000,7460000,7563000,NA
"219","FARMER BROTHERS CO","US-TX",2090,"Miscellaneous Food Preparations & Kindred Products",64142883.5990022,132048501.992509,17810315.8916157,16372805.5076057,-2729997.8862817,-11581989.7554028,38213094.9425901,-9657991.83482178,-146978.451570811,-9873000,-8912000,-13196000,-22336000,-7280000,-3813000,-5211000,-10272000,2979000,-7157000,-1306000,-2978000,1806000,4709000,2506000,3111000,2515000,2896000,-2572000,-2187000,-1074000,5561000,1192000,84239000,841000,-17060000,-2193000,-1837000,4654000,7754000,-2193000,133000,-2986000,-10100000,-39777000,-8760000,4654000,7754000,-39777000,-9718000,-6270000,-17725000,-13684000,-653285.030086399,-2424000,-5420000,NA
"220","FLEXSTEEL INDUSTRIES, INC.","US-IA",2510,"Household Furniture",580753999.930972,734589999.932471,-717999999.590035,-81017098.4835946,1448359.96978266,2140157.82360361,7931858.31374402,5132450.80704658,6635631.76113634,2343000,2131000,2455000,3488000,2378000,2948000,3343000,4399000,2872000,2922000,3118000,4240000,3768000,1170000,4420000,5632000,4878000,4685000,6956000,5780000,5763000,5366000,6944000,6164000,4752000,5389000,7624000,6021000,6180000,6221000,3079000,2186000,1296000,1566000,-15552000,-19915000,9551000,-5384000,-5270000,-25741000,3879000,8450000,4878000,5841000,4353000,-7545000,NA
"221","MAYS J W INC","US-NY",6512,"Opeators of  Nonresidential Buildings",-23997.9998626525,132048482.934412,17810315.8950445,16372801.7775359,8795417.92054836,7866853.8882594,38213087.0777526,148826.88643773,87424.1398175687,174955,-182974,203216,-86843.1488627581,372177,313745,140159,-99309.8246871806,500774,-10968,73037,38970.4815659134,436024,-57050,218315,21571.2429984162,438672,328913,421962,169134.741710456,401375,222726,451391,156840.965769167,462025,323562,606234,9858.60499871296,395395,2453929,318172,-193355,-79194,293960,655935,249657.246727976,128544,-57281,-585023,-37699.5564724975,-415424,-54107,-41921,610485.244074911,-390750,-195830,NA
"222","EVI Industries, Inc.","US-FL",7200,"Services-Personal Services",-23997.9998626525,132048482.934412,17810315.8950445,16372801.7775359,8795417.92054836,7866853.8882594,38213087.0777526,148826.88643773,87424.1398175687,131952,82114,91841,-86843.1488627581,233498,15396,73684,-99309.8246871806,151839,125155,249887,38970.4815659134,425771,477306,314677,21571.2429984162,463961,484412,431961,169134.741710456,157032,379000,774000,156840.965769167,352000,1329000,890000,9858.60499871296,563000,1510000,1136000,-14402.3728702009,796000,1265000,466000,249657.246727976,580000,263000,-12000,-37699.5564724975,518000,163780.451788892,625000,610485.244074911,2019000,528000,NA
"223","THE INTERGROUP CORPORATION","US-CA",6513,"Operators of  Apartment Buildings",64142869.4872007,132048482.934411,17810315.8950444,16372801.7775358,-2729999.99894671,-11581999.9946761,38213087.0777525,-9657999.99262838,-146978.395543037,9000,8602000,-307815.574706145,-468080.89054944,-3075000,1000,1519000,-120764.968522186,589000,-1180000,-199000,-286410.667464406,282000,-5471000,-335000,-271899.911586061,-763000,-289000,4341000,-277476.267999968,469000,-4295000,-2914000,-482095.894307735,1191000,-1716000,-147000,-868645.094324239,-412000,-1205000,528000,-875663.965527067,630000,-1027000,1051000,-916525.64422581,336000,248000,-2580000,-1236160.63790952,4550000,-65000,1110000,-653284.912420602,-2161000,-2003000,NA
"224","NATIONAL RURAL UTILITIES COOPERATIVE FINANCE CORPORATION","US-VA",6159,"Miscellaneous Business Credit Institution",64142869.487201,132048482.934412,17810315.8950445,16372801.7775359,8795417.92054836,7866853.8882594,38213087.0777526,19225008.5948446,4755657.34086043,-37196000,87447000,79337000,4190579.27450967,-84032000,-26761000,-37243000,3854227.12375399,12641000,59382000,88423000,3776710.89992177,155548000,24925000,28302000,4015369.68939262,20401000,-35705000,-33979000,3209367.66370449,43325000,-24137000,-172981000,3658228.59930551,-131571000,392729000,97558000,3020674.58438705,9133000,177573000,219415000,3734415.00897491,47965000,119260000,-70932000,3601759.85650838,-322422000,241592000,-275564000,1525604.59651563,144416000,160016000,377734000,7101234.46128675,-89894000,135098000,NA
"225","BIOMERICA, INC.","US-CA",2835,"In Vitro & In Vivo Diagnostic Substances",-23997.9998626525,132048482.934412,17810315.8950445,16372801.7775359,8795417.92054836,7866853.8882594,38213087.0777526,148826.88643773,87424.1398175687,-12186,137,73403,-86843.1488627581,117792,195092,181445,-99309.8246871806,291640,236919,-35614,38970.4815659134,-167714,-243357,26544,21571.2429984162,-219268,-238028,-117193,169134.741710456,-72335,-66768,-135002,156840.965769167,-55417,-202887,-304141,9858.60499871296,-207059,-268661,-322491,-14402.3728702009,-451740,-477244,-678746,249657.246727976,-506296,-485260,-860926,-37699.5564724975,-1892394,-1718098,-2124541,610485.244074911,-1542581,-1125274,NA
"226","STURM, RUGER & COMPANY, INC.","US-CT",3480,"Ordnance & Accessories, (No Vehicles/Guided Missiles)",580753999.480447,734589999.48858,-717999996.84866,-81017098.2388834,1448359.97062582,2140157.82439196,7931858.31232041,5132450.80624051,6635631.75879181,6041000,5187835.32122673,7947000,10813000,10737000,10518000,15480000,18014000,17349000,19786000,23718000,32308000,28671000,26575000,24319000,22286000,6781000,-14758000,15503000,17560000,11963000,17100000,23278000,23515000,19850000,20829000,22224000,10199000,9370000,10350000,14264000,15189000,9206000,12274000,13033000,6233000,4817000,8208000,15338000,18594000,24753000,31713000,38192000,44384000,35202000,38121000,NA
"227","SUNLINK HEALTH SYSTEMS, INC.","US-GA",8062,"Services-General Medical & Surgical Hospitals, NEC",64142869.4872007,132048482.934411,17810315.8950444,16372801.7775358,-2729999.99894671,-11581999.9946761,38213087.0777525,-9657999.99262838,-146978.395543037,-2768000,-1766000,-314000,-11255000,-1555000,-935000,-1543000,5114000,-1424000,3935000,-186000,2163000,-1158000,227000,-964000,1350000,-413000,977000,-411000,92000,-1668000,-9346000,-1835000,-1234000,3023000,3098000,-1025000,-2408000,-277000,726000,-588000,-875663.965527067,-880000,305000,1042000,-916525.64422581,-261000,-42000,-158000,-1236160.63790952,-340000,3074000,-531000,-653284.912420602,1939000,-593000,NA
"228","TWIN DISC INC","US-WI",3560,"General Industrial Machinery & Equipment",64148257.7799433,132055916.195908,17809468.3182876,16373446.7971628,-2729249.2039602,-11578303.3438066,38215482.9797867,-9655017.95781245,-146985.223321984,2656000,4034000,4548000,-468068.889869919,9581000,5840000,9984000,-120768.383126814,1231000,3360000,-757000,-286438.466064866,1277000,518000,-475000,-271908.667401323,4043000,3747000,2946000,-277541.97717956,-4323000,-2301000,-963000,-482133.378174093,-2696000,-2912000,-1849000,-868751.546300196,-261817.598686247,-4113000,4308000,-875716.587094437,2862000,4073000,4560000,-916546.849081472,-6311000,-6516000,-25230000,-1236338.79432169,-3979000,-4313000,94000,-653304.772814487,1920000,-3836000,NA
"229","UNIFI, INC.","US-NC",2200,"Textile Mill Products",580591796.911524,734430180.331261,-717013559.225609,-80929030.409518,1448618.78206581,2140362.60400899,7931444.91629425,5132008.41621536,6634717.52719248,10235000,5385000,-4045000,5770655.9477123,286000,-7608000,7535000,11278000,2294000,2426000,1399000,10516000,8870000,6443000,4743000,8767000,7077000,9418000,10016000,15640000,8025000,6464000,9689000,10237000,9403000,4591000,9177000,9704000,8960000,11802000,176000,10764000,1812000,1171000,-1529000,1002000,3712000,409000,-41111000,-20247000,3432000,7464000,4758000,13419000,8680000,929000,NA
"230","VILLAGE SUPER MARKET, INC.","US-NJ",5411,"Retail-Grocery Stores",64142869.540885,132048483.02049,17810315.821573,16372801.7240923,5066999.99785773,4403999.99892054,5249000.00175443,2564104.48408619,2168702.89642486,3934000,6616000,1668000,3009778.94483015,6736000,9147000,6543000,2856367.44669894,5855000,9104000,4622000,3097815.73950737,-6831000,2818000,3188000,2867093.22206297,3879000,6603000,13206000,4103608.41604319,4430000,6284000,5882000,4388539.88187273,4109000,5992000,6015000,4986248.19502346,3016000,9511000,6542000,5958008.3907428,6269000,7571000,4970000,5045783.28695023,2567000,2005000,11152000,2877803.71272045,3360000,4555000,2574000,9125265.32884527,7328000,10129000,NA
"231","ENZO BIOCHEM, INC.","US-NY",2836,"Biological Products, (No Diagnostic Substances)",64142873.6922009,132048488.613108,17810315.8950444,16372802.8899536,-2729999.36935242,-11581996.9433449,38213089.4220305,-9657997.56162446,-146978.41225564,-1122000,-5708000,-2110000,-4020000,-4494000,-4221000,-3411000,-27143000,-3691000,-5674000,-5770000,-3102000,-2787000,-3566000,-455000,-3169000,-3729000,-4091000,-2907000,8442000,4434000,6832000,-2115000,36135000,-1474000,-1053000,-71000,94000,-640000,-901000,-3016000,-5758000,-5978000,-8408000,22265000,-5390000,-7648000,-7687000,-9890000,-3325000,299000,-536584.204716978,-418093.937716476,-653284.947512633,-2319000,-2655000,NA
"232","FONAR CORPORATION","US-NY",3845,"Electromedical & Electrotherapeutic Apparatus",64142869.4872006,132048482.934411,17810315.8950444,16372801.7775358,5067000.00013283,4404000.00009334,5249000.00092664,2564104.48338858,2168702.89545007,385000,1363000,1184000,3009778.9440689,1513000,1536000,1292000,2856367.4457534,1452000,1349000,1076000,3097815.73821414,2437000,2143000,1739000,2867093.22056739,2535000,2658000,2019000,4103608.41564018,2862000,3493000,3005000,4388539.88170871,3571000,4242000,5900000,4986248.1949969,3719000,4189000,3481000,5958008.39111467,3318000,3552000,3863000,5045783.28628006,3299000,3104000,1261000,2877803.71305053,2508000,3111000,3868000,9125265.32784207,3887000,4020000,NA
"233","PHI GROUP, INC.","US-CA",8741,"Services-Management Services",-23997.9998626525,132048482.934412,17810315.8950445,16372801.7775359,8795417.92054836,7866853.8882594,38213087.0777526,148826.88643773,87424.1398175687,79104,-303019,-284281,-86843.1488627581,-128578,-61486,-134218,-99309.8246871806,-236514,-207543,-241776,38970.4815659134,216692,-141420,-166003,21571.2429984162,-200089,-136553,-256537,169134.741710456,19874,28635,-176948,156840.965769167,-375532,-277181,-309219,9858.60499871296,-561418,-435234,-677029,-14402.3728702009,-917683,-407042,321474,249657.246727976,-353432,-226717,-1285643,-37699.5564724975,-336264,-212867,176829.775583383,610485.244074911,49358.3933746598,-126179.175473834,NA
"234","ONE LIBERTY PROPERTIES, INC.","US-NY",6798,"Real Estate Investment Trusts",64142869.4872006,132048482.934411,17810315.8950444,16372801.7775358,5067000.00013283,4404000.00009334,5249000.00092664,2564104.48338858,2168702.89545007,2846000,2838070.37768853,2732000,5142000,2765000,3085000,3223000,5750000,18414000,4933000,3450000,7736000,3211000,3478000,3273000,4640000,2620000,11583000,7856000,3682000,3788000,5191000,3287000,12441000,4299000,4395000,2865000,9972000,7105000,4205000,5851000,4517000,10147000,150000,3971000,4112000,5118000,4810000,7826000,2284000,13725000,3572000,2962000,23329000,6059000,6507000,NA
"235","NON INVASIVE MONITORING SYSTEMS INC /FL/","US-FL",3845,"Electromedical & Electrotherapeutic Apparatus",-23997.9998626525,132048482.934412,17810315.8950445,16372801.7775359,8795417.92054836,7866853.8882594,38213087.0777526,148826.88643773,87424.1398175687,-354000,-303000,-123000,-86843.1488627581,-181000,-112000,-110000,-99309.8246871806,-116000,-147000,-123000,38970.4815659134,-118000,-106000,-105000,21571.2429984162,-105000,-117000,-85000,169134.741710456,-94000,-111000,-108000,156840.965769167,-127000,-183000,-102000,9858.60499871296,-128000,-99000,-111000,-14402.3728702009,-207000,-1178000,-189000,249657.246727976,-55000,-43000,-40000,-37699.5564724975,-59000,-39000,-29000,610485.244074911,-58000,-41000,NA
"236","Dynatronics Corporation","US-MN",3841,"Surgical & Medical Instruments & Apparatus",-23997.9998626525,132048482.934412,17810315.8950445,16372801.7775359,8795417.92054836,7866853.8882594,38213087.0777526,148826.88643773,87424.1398175687,17012,67839,117260,-86843.1488627581,-68259,46334,-117563,-99309.8246871806,-51145,140983,-61121,38970.4815659134,-107784,44095,-161752,21571.2429984162,40923,-133543,-208013,169134.741710456,-181562,-124681,-450688,156840.965769167,-374618,-559969,-848710,9858.60499871296,11586,-1314916,-1467956,-14402.3728702009,128964,-644098,-759627,249657.246727976,-68066,-448451,-1324777,-37699.5564724975,-377704,-672832,118209,2933576,482640,-1441267,NA
"237","TRIO-TECH INTERNATIONAL","SG-",3559,"Special Industry Machinery, NEC",-23997.9998626525,132048482.934412,17810315.8950445,16372801.7775359,8795417.92054836,7866853.8882594,38213087.0777526,148826.88643773,87424.1398175687,491000,187,-462000,-86843.1488627581,-804000,-1203000,-518000,-99309.8246871806,-17000,-543000,-543000,38970.4815659134,-17000,-365000,157000,21571.2429984162,-136000,94000,199000,169134.741710456,259000,190000,150000,156840.965769167,303000,310000,350000,9858.60499871296,575000,673000,-739000,-14402.3728702009,65000,348000,683000,249657.246727976,273000,426000,70000,-37699.5564724975,-8000,235000,178000,610485.244074911,917000,855000,NA
"238","PRO-DEX, INC.","US-CA",3841,"Surgical & Medical Instruments & Apparatus",-23997.983629777,132048482.934412,17810315.8950444,16372801.7775358,8795417.7850902,7866853.73250186,38213087.0777526,148826.875971715,87424.139036952,342000,401000,868000,-86843.1500840328,446000,-292000,-487000,-99309.8247584727,-17000,-348000,-747000,38970.4804952891,212000,-338000,-385000,21571.242032726,-170000,-192000,-76000,169134.740217961,-125000,391000,368000,156840.96367693,286000,3194000,888000,9858.60235314949,628000,345000,480000,-14402.3754527959,1349000,1179000,732000,249657.243065318,1104000,1249000,1213000,-37699.5598055467,1115000,1787000,2161000,1107000,1080000,1082000,NA
"239","ADMIRAL FINANCIAL CORP.","US-FL",6035,"Savings Institution, Federally Chartered",-23997.9998626525,132048482.934412,17810315.8950445,16372801.7775359,8795417.92054836,7866853.8882594,38213087.0777526,148826.88643773,87424.1398175687,0,0,0,-86843.1488627581,0,0,0,-99309.8246871806,0,0,0,38970.4815659134,0,0,0,21571.2429984162,0,0,0,169134.741710456,0,0,0,156840.965769167,0,0,0,9858.60499871296,0,0,0,-14402.3728702009,0,0,0,249657.246727976,0,0,0,-37699.5564724975,0,0,0,610485.244074911,0,0,NA
"240","LIFEVANTAGE CORP","US-UT",2834,"Pharmaceutical Preparations",65142194.7059533,133648090.044409,16503454.6965058,15414687.8339286,-2671500.91943735,-11208899.5269738,37794715.5562214,-9303424.28252677,-127589.879841806,715000,5448000,-9768000,-47187000,3724000,8759000,-4846000,4832000,4165000,209000,3416000,-182000,3256000,3282000,2494000,2351000,4716000,1472000,573000,226000,1066000,1600000,1003000,2437000,1180000,283000,61000,84000,817000,317000,1635000,2992000,911000,829000,1782000,3907000,1761000,4303000,1661000,3824000,2451000,3812000,1724000,4907000,3316000,79000,NA
"241","Escalon Medical Corp.","US-PA",3845,"Electromedical & Electrotherapeutic Apparatus",-23996.9037301026,132048482.934412,17810315.8950445,16372801.7775358,8795408.77367683,7866843.37066493,38213087.0777526,148826.179715172,87424.0871060593,-649162,-1048599,-1921485,-86843.2313299093,-789649,-3535000,-639786,-99309.8295012152,-433436,3993385,-285864,38970.4092715023,13241,-108549,86084,21571.1777897289,-458959,-74089,56542,169134.640929021,-293189,-265100,-81266,156840.824489902,-395532,-64957,-106856,9858.42635579392,-60521,711220,-119076,-14402.5472611484,-47736,-217983,22205,-250016,621373,-675343,-127883,-37699.7815382184,-196553,98476,-137465,610484.930423203,317220,-53154,NA
"242","MATRIX SERVICE CO","US-OK",1700,"Construction - Special Trade Contractors",580753999.842323,734589999.845128,-717999999.050621,-81017098.4354433,1448359.96941245,2140157.82281241,7931858.31465082,5132450.80506759,6635631.75983665,3089000,5287000,4923000,5683000,3509000,7031000,4862000,1786000,4684000,5436000,6521000,7367000,6552000,10306000,11396000,7556000,5914000,3286000,-2959000,10916000,9941000,5431000,4357000,9134000,9342000,5250000,-13821000,-954000,3824000,4532000,-5153000,-14683000,2305000,3932000,8933000,12812000,6151000,-28008000,-5495000,-5722000,-3037000,-4591000,-12873000,-10723000,10827927.0096987,6736843.80186638,NA
"243","PRECISION OPTICS CORPORATION, INC.","US-MA",3845,"Electromedical & Electrotherapeutic Apparatus",-23997.9998626525,132048482.934412,17810315.8950445,16372801.7775359,8795417.92054836,7866853.8882594,38213087.0777526,148826.88643773,87424.1398175687,-157846,-330950,-302312,-86843.1488627581,1998441,-324875,-492139,-99309.8246871806,-358094,-906484,-349994,38970.4815659134,-210721,-252453,-380434,21571.2429984162,-296439,-321223,-197884,169134.741710456,-381890,-281310,-222097,156840.965769167,-293408,-312095,-163353,9858.60499871296,-28785,-60326,-279271,-14402.3728702009,-299285,-125948,-80483,249657.246727976,-86110,-550825,-466130,-37699.5564724975,793,-213454,552278,610485.244074911,-576801,-507013,NA
"244","SANFILIPPO JOHN B & SON INC","US-IL",2060,"Sugar & Confectionery Products",64142869.4872006,132048482.934411,17810315.8950444,16372801.7775358,5067000.00013283,4404000.00009334,5249000.00092664,2564104.48338858,2168702.89545007,1079000,5172000,-5625000,2209000,2442000,9354000,1440000,3886000,7534000,8301000,342000,5583000,6775000,9224000,3681000,6607000,5915000,8403000,6518000,8469000,7990000,12050000,3078000,7277000,10180000,12885000,6336000,6724000,10711000,7609000,8552000,5628000,6606000,11264000,10331000,11265000,12926000,17461000,13466000,10257000,12812000,19885000,14701000,12343000,19249000,13247000,NA
"245","STRATTEC SECURITY CORP","US-WI",3714,"Motor Vehicle Parts & Accessories",64143024.2168499,132048731.032419,17810104.1359223,16372647.7425124,5066993.42780332,4403996.60259116,5249002.39432873,2564106.48490889,2168705.70215017,1418000,1247000,55000,3009781.13297744,1282000,1548000,2728000,2856370.16690927,2670000,2394000,1094000,3097819.4606156,3211000,3873000,3601000,2867097.52670212,9300000,5778000,4376000,4103609.56994575,3273000,3403000,1889000,4388540.34588828,1542000,398000,3482000,4986248.26028853,2456000,2882000,2969000,3976000,3467000,-22164000,1730000,-62000,1244000,-1341000,2994000,-10502000,8008000,7113000,4485000,9125268.19610778,101000,3391000,NA
"246","IDT CORPORATION","US-NJ",4813,"Telephone Communications (No Radiotelephone)",580753995.700832,734589995.764619,-717999973.850281,-81017096.1859138,1448359.9529187,2140157.78726459,7931858.35523959,5132450.71533526,6635631.70037169,15648000,3936000,7001000,227000,-4326000,2656000,2989000,37329000,3614000,2953000,8691000,-3651000,3523000,2535000,5017000,7709000,80155000,2510000,565000,1260000,4193000,4065000,4237000,11019000,21918000,875000,-4775000,-9841000,-2092000,1516000,-3458000,8242000,-2299000,-1311000,2170000,1574000,-1513000,932000,518000,2114841.12624995,8288000,13108000,36348000,12183185.1207788,-2478000,7487000,NA
"247","PURE Bioscience, Inc.","US-CA",2890,"Miscellaneous Chemical Products",64142869.4872265,132048482.934446,17810315.8950444,16372801.7775426,-2729999.99894284,-11581999.9946574,38213087.0777669,-9657999.99261346,-146978.395543139,-2022000,-2480000,-1818000,-468080.890549451,-2361000,-2193000,-1829000,-120764.968522269,-2154000,-1824000,-1534000,-286410.667464635,-3844000,-2482000,-2049000,-271899.91158619,-1934000,-1736000,-2091000,-277476.268000389,-2820000,-10902000,30000,-482095.894308011,-1743000,-936000,-1738000,-868645.094324913,-2339000,-2027000,-1692000,-875663.96552745,-2566000,-1296000,-1873000,-916525.644226037,-1125000,-666000,473000,-1236160.63791058,-180000,-595000,-811000,-653284.912420818,-796000,-702000,NA
"248","NETSOL TECHNOLOGIES, INC.","US-CA",7372,"Services-Prepackaged Software",64142869.4872007,132048482.934411,17810315.8950444,16372801.7775358,-2729999.99894671,-11581999.9946761,38213087.0777525,-9657999.99262838,-146978.395543037,1566980,1935737,3318430,-468080.89054944,-1458708,319567,1684227,-120764.968522186,929125,2222983,1562835,-286410.667464406,-1097115,-1626908,-1299804,-271899.911586061,-1838026,-1367166,-1636245,-277476.267999968,-737980,1202017,849479,-482095.894307735,-386111,-2168394,699968,-868645.094324239,-369498,634421,2864445,-875663.965527067,962589,2855629,1267560,-916525.64422581,-1827947,585975,1000807,-1236160.63790952,717554,-242104,-623231,-653284.912420602,187969,1406785,NA
"249","AEHR TEST SYSTEMS","US-CA",3825,"Instruments For Meas & Testing of  Electricity & Elec Signals",64142869.4872007,132048482.934411,17810315.8950444,16372801.7775358,-2729999.99894671,-11581999.9946761,38213087.0777525,-9657999.99262838,-146978.395543037,-1516000,-767000,-946000,-468080.89054944,124000,-1373000,-1361000,-779000,-296000,-811000,-1458000,-854000,-166000,137000,212000,239000,-907000,-2114000,-1726000,-1900000,294000,-1048000,-2975000,-3056000,-755000,-1452000,-2651000,-795000,10000,60000,267000,191000,-1515000,-629000,-3201000,110000,-413000,251000,245000,-2885000,107000,-1966000,-735000,567000,696000,717000,NA
"250","eGain Corporation","US-CA",7372,"Services-Prepackaged Software",64142869.4872007,132048482.934411,17810315.8950444,16372801.7775358,-2729999.99894671,-11581999.9946761,38213087.0777525,-9657999.99262838,-146978.395543037,4846000,1014000,567000,-468080.89054944,516000,-755000,-655000,-120764.968522186,-2884000,641000,1030000,1897000,-2004000,-1217000,-1007000,-1018000,-1636000,-5461000,-2399000,-2933000,-3237000,-1379000,-3001000,1377000,-2411000,-1049000,-2515000,-45000,-568000,-788000,-99000,-536000,604000,2e+06,1398000,166000,1217000,1973000,1867000,2151000,2044000,1606000,1261000,2048000,551000,-826000,NA
"251","MODULAR MEDICAL, INC.","US-CA",3841,"Surgical & Medical Instruments & Apparatus",-23997.9994725127,132048482.934412,17810315.8950445,16372801.7775358,8795417.91729276,7866853.88451593,38213087.0777526,148826.88618619,87424.1397988074,-3917,-1510,-1700,-86843.1488921101,-6135,-3841,-3941,-99309.824688894,-6991,-4545,-4556,38970.4815401821,-7210,-5457,-5202,21571.2429752069,-7858,-7533,-7957,169134.741674586,-11032,-6857,-6717,156840.965718882,-1473,-6427,-7505,-38742,-176002,-258772,33780.8123959067,-249566,-543774,-739205,60494.3943246798,-1122198,-1147566,-1133517,-107197.730283548,-1874157,-1860729,-1870545,176829.775536073,-4835091,-4381757,-4841307,NA
"252","EXTREME NETWORKS, INC.","US-NC",3576,"Computer Communications Equipment",619184346.515904,584409830.498991,17810315.8950444,171094381.318925,158783348.951315,188875992.291549,318790533.013303,148881948.711143,-781773.481626847,2712000,8929000,-6841000,-2087000,1583000,4107000,2372000,7812000,12915000,-4206000,-2220000,-2182432.28734802,-35000,-15986000,-25058000,-1133743.88127407,-19330000,-13105000,-23548000,-6420290.55849373,-11526000,-7234000,-10784000,-3140416.47585196,-5742000,-4229000,-4977000,-19261499.0410739,4376000,-31923000,-13613000,-5545689.38716756,-9065000,7199000,-6932000,-2831298.71913153,-37738000,-23538000,-44352000,-60429021.036376,-8812000,-3050000,3472000,-2454324.56155921,12696000,13341000,NA
"253","LANTRONIX, INC.","US-CA",3576,"Computer Communications Equipment",-23872.2680142966,132048482.934412,17810315.8950445,16372801.7775358,8794368.78862081,7865647.5563653,38213087.0777526,148745.822203039,87418.0935381593,-678000,-579000,-399000,-86852.6082725836,-1444000,-1377000,-41000,-99310.3768817031,-430000,-412000,-801000,38962.1890268042,-267000,-323000,-130000,21563.7632275055,-262000,-632000,-839000,169123.181572879,-331000,-928000,-456000,156824.760331437,-104000,41000,-162000,9838.11373999171,-641000,225000,344000,-14422.3764108489,-83000,277000,857000,249628.877642491,-2470000,-1351000,-5216000,-37725.3726796265,-302000,-1459000,-1187000,610449.26689763,-2283000,-2395000,NA
"254","QuinStreet, Inc.","US-CA",7389,"Services-Business Services, NEC",66480288.785748,135185624.321902,17810310.0656181,16991517.8201924,-2404556.07317117,-10029460.2419485,39514674.3334469,-8416958.75410797,-156109.161958489,7501000,6928000,6339000,-469072.234654035,5494000,4433000,2873000,-128181.525462573,-137000,-63491000,-2162000,-306822.776424485,-939000,-44029000,-2673000,-283436.225671931,-6287000,-5477000,-3216000,-315089.565008102,-6364000,-6458000,-3265000,-506691.953438253,-3569000,-7850000,579000,-929490.738882282,1445000,1947000,7117000,-910019.345120562,5297000,52826000,941000,-936810.709345185,1132000,1549000,13919000,-1332651.60571168,14681000,466000,5037000,-672529.161187802,3093000,-5628000,NA
"255","Stride, Inc.","US-VA",8200,"Services-Educational Services",64142869.8295637,132048483.483366,17810315.4264921,30810999.3112216,-1404465.17777531,-41172999.3866786,39105201.5425308,62124675.2103405,-1801735.61750872,2198000,7839000,5599000,-2844000,4600000,4165000,6977000,1801000,4357000,9511000,11975000,2268000,-5040000,-3665000,15949000,12356000,-6776000,12331000,17013000,-11580000,-12793000,8538000,14273000,-982000,-8056000,11652000,9115000,-6483000,-8056000,13259000,13070000,9347000,-8282000,23712000,18462000,3317000,-9730000,20594000,8754000,4888000,12666000,24501000,23789000,-11727317.0547782,-5883000,42004000,NA
"256","RADIANT LOGISTICS, INC.","US-WA",4731,"Arrangement of  Transportation of  Freight & Cargo",64143060.6197785,132048789.401911,17810054.3162251,16372611.5032709,-2729988.61542679,-11581926.9049077,38213005.9920871,-9657930.37659307,-146974.653435392,782943,716265,770719,581697,655027,417497,-74617,903487,403153,20780,881810,-286406.197602804,1091737,263573,1648114,-271895.229450243,1520664,838739,1336125,-277472.556171786,339000,-2016000,-1719000,-123000,1862000,2610000,907000,-517000,827000,3841000,678000,-875658.368852957,3083000,5870000,2932000,-916519.2503374,3235000,2587000,53000,-1236155.19180867,2889000,4349000,4322000,-653278.759702637,7609000,6539000,NA
