year,cik,entityName,loc,sicDescription,pred_cluster,yearly_gross
2022,1474903,"BGSF, INC.",US-TX,Services-Help Supply Services,9,0.25361
2023,827054,MICROCHIP TECHNOLOGY INCORPORATED,US-AZ,Semiconductors & Related Devices,7,23.32499999999995
2022,723125,"Micron Technology, Inc.",US-ID,Semiconductors & Related Devices,7,73.2
2024,1625288,"NEXIEN BIOPHARMA, INC.",US-CO,Pharmaceutical Preparations,2,-0.0017780200000000002
2021,1511737,UBIQUITI INC.,US-NY,Radio & Tv Broadcasting & Communications Equipment,7,5.27949
2024,732026,TRIO-TECH INTERNATIONAL,SG-,"Special Industry Machinery, NEC",1,0.00411
2024,912603,"RADIUS RECYCLING, INC.",US-OR,Wholesale-Misc Durable Goods,6,-4.679319999999999
2021,1387467,Alpha and Omega Semiconductor Limited,BM-,Semiconductors & Related Devices,7,4.38621999999999
2021,56701,KOSS CORPORATION,US-WI,Household Audio & Video Equipment,7,-0.0046872599999999995
2022,320193,Apple Inc.,US-CA,Electronic Computers,7,938.919999999999
2022,1383312,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",US-NY,"Services-Business Services, NEC",9,4.610999999999999
2023,1694426,"DELEK US HOLDINGS, INC.",US-TN,Petroleum Refining,0,0.19799999999999995
2021,1040130,"PETMED EXPRESS, INC.",US-FL,Retail-Drug Stores and Proprietary Stores,6,0.1979599999999998
2023,788920,"PRO-DEX, INC.",US-CA,Surgical & Medical Instruments & Apparatus,1,0.031190000000000002
2024,891166,"UNIVERSAL INSURANCE HOLDINGS, INC.",US-FL,"Fire, Marine & Casualty Insurance",1,0.58928
2021,56679,KORN FERRY,US-CA,Services-Employment Agencies,9,3.008860000000003
2022,715446,"ANIXA BIOSCIENCES, INC.",US-CA,Pharmaceutical Preparations,2,-0.11358
2023,95029,"STURM, RUGER & COMPANY, INC.",US-CT,"Ordnance & Accessories, (No Vehicles/Guided Missiles)",1,0.4821500000000001
2022,779152,"JACK HENRY & ASSOCIATES, INC.",US-MO,Services-Computer Integrated Systems Design,5,3.5673800000000035
2022,276720,PURE CYCLE CORPORATION,US-CO,Water Supply,0,0.03525999999999998
2022,1521951,"FIRST BUSINESS FINANCIAL SERVICES, INC.",US-WI,State Commercial Banks,4,0.40857999999999994
2022,912767,"UFP INDUSTRIES, INC.",US-MI,"Sawmills & Planting Mills, General",1,6.92650999999999
2023,1040130,"PETMED EXPRESS, INC.",US-FL,Retail-Drug Stores and Proprietary Stores,6,-0.0266
2024,1436425,"HOME BANCORP, INC.",US-LA,"Savings Institutions, Not Federally Chartered",8,0.3642700000000003
2024,1227265,CERES ORION L.P.,US-NY,Commodity Contracts Brokers & Dealers,3,-0.08577277999999999
2023,1116132,"Tapestry, Inc.",US-NY,Leather & Leather Products,1,8.90699999999999
2024,1096752,EDGEWELL PERSONAL CARE COMPANY,US-CT,"Perfumes, Cosmetics & Other Toilet Preparations",2,1.319000000000002
2021,1126956,Spire Inc.,US-MO,Natural Gas Distribution,0,0.9699999999999981
2024,1350156,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,CA-AB,"Retail-Home Furniture, Furnishings & Equipment Stores",6,-0.00040096
2021,1376227,"United States Natural Gas Fund, LP",US-CA,Commodity Contracts Brokers & Dealers,3,0.18400201000001104
2023,1617242,KEARNY FINANCIAL CORP.,US-NJ,"Savings Institution, Federally Chartered",8,0.16638999999999993
2023,109380,"ZIONS BANCORPORATION, NATIONAL ASSOCIATION",US-UT,National Commercial Banks,4,6.8
2023,1390777,THE BANK OF NEW YORK MELLON CORPORATION,US-NY,State Commercial Banks,4,33.01999999999997
2024,1002590,"STAR GROUP, L.P.",US-CT,"Retail-Retail Stores, NEC",6,0.55128
2023,1397016,"OPTEX SYSTEMS HOLDINGS, INC.",US-TX,Optical Instruments & Lenses,1,0.02062
2024,310764,STRYKER CORP,US-MI,Surgical & Medical Instruments & Apparatus,1,29.92999999999996
2021,1022408,ePlus inc.,US-VA,Wholesale-Computers & Peripheral Equipment & Software,1,1.02993
2021,1334978,"CLEAR CHANNEL OUTDOOR HOLDINGS, INC.",US-TX,Services-Advertising,9,-5.3859499999999905
2023,829224,Starbucks Corporation,US-WA,Retail-Eating & Drinking Places,6,42.16099999999999
2022,90168,"SIFCO Industries, Inc.",US-OH,Aircraft Engines & Engine Parts,1,0.041609999999999994
2021,95029,"STURM, RUGER & COMPANY, INC.",US-CT,"Ordnance & Accessories, (No Vehicles/Guided Missiles)",1,1.55899
2022,1083743,"FLUX POWER HOLDINGS, INC.",US-CA,"Miscellaneous Electrical Machinery, Equipment & Supplies",1,-0.10787
2021,1227265,CERES ORION L.P.,US-NY,Commodity Contracts Brokers & Dealers,3,0.53752215
2023,866273,MATRIX SERVICE CO,US-OK,Construction - Special Trade Contractors,1,-0.3139
2023,1171838,"SUNDANCE STRATEGIES, INC.",US-UT,"Insurance Agents, Brokers & Service",3,-0.015740900000000002
2023,72331,NORDSON CORPORATION,US-OH,"General Industrial Machinery & Equipment, NEC",1,4.92917
2021,1410738,VoIP-PAL.COM INC.,US-TX,Telephone & Telegraph Apparatus,7,-0.02109926
2023,24090,"CITIZENS, INC.",US-TX,Life Insurance,9,0.24437
2023,785786,PLEXUS CORP.,US-WI,Printed Circuit Boards,7,1.01657
2021,746514,New England Realty Associates Limited Partnership,US-MA,Operators of  Apartment Buildings,9,-0.027001630000000002
2021,880117,SANFILIPPO JOHN B & SON INC,US-IL,Sugar & Confectionery Products,2,0.5954
2021,1136893,"Fidelity National Information Services, Inc.",US-FL,"Services-Business Services, NEC",9,2.8400000000000105
2022,920427,"Unity Bancorp, Inc.",US-NJ,State Commercial Banks,4,0.38456999999999975
2021,912728,FORWARD AIR CORPORATION,US-TN,Arrangement of  Transportation of  Freight & Cargo,1,0.8893
2024,1163370,"NORTHRIM BANCORP, INC.",US-AK,"Savings Institution, Federally Chartered",8,0.3697100000000001
2023,1600033,"e.l.f. Beauty, Inc.",US-CA,"Perfumes, Cosmetics & Other Toilet Preparations",2,1.293820000000001
2023,316253,"ENZO BIOCHEM, INC.",US-NY,"Biological Products, (No Diagnostic Substances)",2,-0.14987000000000011
2022,918646,EAGLE MATERIALS INC,US-TX,"Cement, Hydraulic",0,4.925
2024,1016178,"CARVER BANCORP, INC.",US-NY,"Savings Institution, Federally Chartered",8,-0.09954
2023,775057,ALTEX INDUSTRIES INC,US-CO,Crude Petroleum & Natural Gas,0,-0.0007300000000000001
2023,318299,"SPARTA COMMERCIAL SERVICES, INC.",US-NY,"Services-Business Services, NEC",9,-0.00763139
2022,33002,"ENNIS, INC.",US-TX,Manifold Business Forms,9,0.4267000000000001
2023,928465,AMCON DISTRIBUTING CO,US-NE,"Wholesale-Groceries, General Line",6,0.11025293
2022,723254,Cintas Corporation,US-OH,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments",1,13.06878
2021,1348911,"KALVISTA PHARMACEUTICALS, INC.",US-MA,Pharmaceutical Preparations,2,-0.68274
2024,1520697,"Acadia Healthcare Company, Inc.",US-TN,"Services-Specialty Outpatient Facilities, NEC",9,2.556119999999999
2021,1436425,"HOME BANCORP, INC.",US-LA,"Savings Institutions, Not Federally Chartered",8,0.48621000000000003
2021,78749,"AGILYSYS, INC.",US-GA,Services-Computer Integrated Systems Design,5,0.02426000000000001
2022,703351,"BRINKER INTERNATIONAL, INC.",US-TX,Retail-Eating  Places,6,0.7090000000000001
2023,1034054,SBA COMMUNICATIONS CORPORATION,US-FL,Real Estate Investment Trusts,3,5.018120000000001
2022,56701,KOSS CORPORATION,US-WI,Household Audio & Video Equipment,7,0.0960496099999998
2023,1609258,PETROGAS COMPANY,US-TX,Crude Petroleum & Natural Gas,0,-0.0008122100000000001
2021,1350156,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,CA-AB,"Retail-Home Furniture, Furnishings & Equipment Stores",6,-0.00167639
2022,712770,"ONE LIBERTY PROPERTIES, INC.",US-NY,Real Estate Investment Trusts,3,0.4217700000000001
2021,949961,"Income Opportunity Realty Investors, Inc.",US-TX,Real Estate Investment Trusts,3,0.03598
2021,109380,"ZIONS BANCORPORATION, NATIONAL ASSOCIATION",US-UT,National Commercial Banks,4,11.28999999999998
2021,1017303,TRANSACT TECHNOLOGIES INC,US-CT,"Computer Peripheral Equipment, NEC",7,-0.04040999999999999
2022,107140,"JOHN WILEY & SONS, INC.",US-NJ,Books: Publishing or  Publishing & Printing,6,-0.15744999999999987
2023,733590,"Transcontinental Realty Investors, Inc.",US-TX,Real Estate Investment Trusts,3,0.05937
2023,1141103,"Cross Country Healthcare, Inc",US-FL,Services-Help Supply Services,9,0.72631
2024,1467373,Accenture plc,IE-,"Services-Business Services, NEC",9,75.7023699999998
2023,1327068,"United States Oil Fund, LP",US-CA,Commodity Contracts Brokers & Dealers,3,-0.46043522000000126
2022,96885,TEL-INSTRUMENT ELECTRONICS CORP.,US-NJ,Electronic Components & Accessories,7,-0.00122988
2023,1590976,"MALIBU BOATS, INC.",US-TN,Ship & Boat Building & Repairing,1,0.6460800000000002
2024,1490906,"Capitol Federal Financial, Inc.",US-KS,"Savings Institution, Federally Chartered",8,0.48489
2024,1549966,Silvercrest Asset Management Group Inc.,US-NY,Investment Advice,3,0.09535
2021,1128361,"HOPE BANCORP, INC.",US-CA,National Commercial Banks,4,2.045720000000002
2024,1304492,Anterix Inc.,US-NJ,Telephone Communications (No Radiotelephone),9,-0.2025200000000001
2023,874866,CORVEL CORPORATION,US-TX,"Insurance Agents, Brokers & Service",3,0.68545
2021,1169561,"Commvault Systems, Inc",US-NJ,Services-Prepackaged Software,5,0.3574
2024,768408,Cyanotech Corp,US-HI,Medicinal Chemicals & Botanical Products,2,-0.03596
2021,1300514,LAS VEGAS SANDS CORP.,US-NV,Hotels & Motels,9,-9.60999999999998
2022,875582,NORTHERN TECHNOLOGIES INTERNATIONAL CORPORATION,US-MN,"Coating, Engraving & Allied Services",1,0.026854230000000003
2021,320187,"NIKE, Inc.",US-OR,Rubber & Plastics Footwear,1,61.09
2021,912603,"RADIUS RECYCLING, INC.",US-OR,Wholesale-Misc Durable Goods,6,0.15848
2024,72573,"MOVADO GROUP, INC.",US-NJ,"Watches, Clocks, Clockwork Operated Devices/Parts",1,0.18364
2021,1319161,Warner Music Group Corp.,US-NY,Services-Amusement & Recreation Services,9,4.26
2021,900075,"COPART, INC.",US-TX,Retail-Auto Dealers & Gasoline Stations,6,11.21366999999996
2021,29644,"DONALDSON COMPANY, INC.",US-MN,Industrial & Commercial Fans & Blowers & Air Purifing Equip,1,3.177000000000004
2023,1629210,PARAMOUNT GOLD NEVADA CORP.,US-NV,Metal Mining,1,-0.06944239
2024,1604028,"ADVANCED DRAINAGE SYSTEMS, INC.",US-OH,Plastics Foam Products,1,4.786539999999999
2021,109177,"Spectrum Brands Holdings, Inc.",US-WI,"Miscellaneous Electrical Machinery, Equipment & Supplies",1,1.2570000000000001
2023,939930,"Pyxus International, Inc.",US-NC,Wholesale-Farm Product Raw Materials,1,0.10400999999999991
2023,1074828,"KNOW LABS, INC.",US-WA,Finance Services,9,-0.1557668
2024,1124140,EXACT SCIENCES CORPORATION,US-WI,Services-Medical Laboratories,9,-10.28856999999998
2021,14693,Brown-Forman Corporation,US-KY,Beverages,2,9.05999999999997
2021,910521,DECKERS OUTDOOR CORP,US-CA,Rubber & Plastics Footwear,1,4.165879999999991
2021,57515,Lancaster Colony Corporation,US-OH,"Canned, Frozen & Preservd Fruit, Veg & Food Specialties",6,1.2281900000000001
2022,1295947,PRESTIGE CONSUMER HEALTHCARE INC.,US-NY,Pharmaceutical Preparations,2,2.084609999999998
2023,1209709,CERES TACTICAL SYSTEMATIC L.P.,US-NY,Commodity Contracts Brokers & Dealers,3,-0.0687670999999999
2021,1157647,"Western New England Bancorp, Inc.",US-MA,"Savings Institution, Federally Chartered",8,0.23699
2023,69891,National Beverage Corp.,US-FL,Bottled & Canned Soft Drinks & Carbonated Waters,0,1.673719999999999
2022,1078271,"EXTREME NETWORKS, INC.",US-NC,Computer Communications Equipment,7,0.5616399999999999
2022,1376986,TENNESSEE VALLEY AUTHORITY,US-TN,Electric Services,9,8.22
2022,866706,ESCO TECHNOLOGIES INC.,US-MO,"Communications Equipment, NEC",7,0.77656
2021,1486957,"BWX TECHNOLOGIES, INC.",US-VA,Engines & Turbines,1,3.0587100000000023
2022,6951,APPLIED MATERIALS INC /DE,US-CA,Semiconductors & Related Devices,7,64.65
2022,868857,AECOM,US-TX,Services-Engineering Services,9,3.3699000000000003
2023,1493594,"MACOM Technology Solutions Holdings, Inc.",US-MA,Semiconductors & Related Devices,7,0.61987
2021,1069899,Phibro Animal Health Corporation,US-NJ,Pharmaceutical Preparations,2,0.48603000000000013
2024,1126956,Spire Inc.,US-MO,Natural Gas Distribution,0,2.60399999999999
2023,8947,AZZ Inc.,US-TX,"Coating, Engraving & Allied Services",1,0.63202
2022,704172,"PHI GROUP, INC.",US-CA,Services-Management Services,9,-0.028636889999999998
2024,1390777,THE BANK OF NEW YORK MELLON CORPORATION,US-NY,State Commercial Banks,4,45.3
2021,1538495,"EARTH SCIENCE TECH, INC.",US-FL,Pharmaceutical Preparations,2,0.02987047
2021,1636519,MADISON SQUARE GARDEN SPORTS CORP.,US-NY,Services-Miscellaneous Amusement & Recreation,9,0.1037599999999998
2022,1405528,"United States 12 Month Oil Fund, LP",US-CA,Commodity Contracts Brokers & Dealers,3,0.38362556000000025
2021,1567514,"Intra-Cellular Therapies, Inc.",US-NJ,Pharmaceutical Preparations,2,-1.6233140400000001
2024,1348911,"KALVISTA PHARMACEUTICALS, INC.",US-MA,Pharmaceutical Preparations,2,-1.7103800000000011
2022,1694426,"DELEK US HOLDINGS, INC.",US-TN,Petroleum Refining,0,2.57099999999999
2022,1397016,"OPTEX SYSTEMS HOLDINGS, INC.",US-TX,Optical Instruments & Lenses,1,0.00482
2022,108385,WORLD ACCEPTANCE CORPORATION,US-SC,Personal Credit Institutions,8,0.14985
2022,933034,STRATTEC SECURITY CORP,US-WI,Motor Vehicle Parts & Accessories,1,0.06536
2023,110621,RPM INTERNATIONAL INC/DE/,US-OH,"Paints, Varnishes, Lacquers, Enamels & Allied Prods",1,4.00535
2022,1297341,KENTUCKY FIRST FEDERAL BANCORP,US-KY,"Savings Institution, Federally Chartered",8,0.01484
2022,1589150,"REGEN BIOPHARMA, INC.",US-CA,Pharmaceutical Preparations,2,1.337929119999997
2022,915840,"BEAZER HOMES USA, INC.",US-GA,Operative Builders,1,1.77651
2024,1472494,"United States Brent Oil Fund, LP",US-CA,Commodity Contracts Brokers & Dealers,3,0.10597826999999999
2024,866706,ESCO TECHNOLOGIES INC.,US-MO,"Communications Equipment, NEC",7,1.05152
2022,1300514,LAS VEGAS SANDS CORP.,US-NV,Hotels & Motels,9,18.3199999999999
2022,707549,LAM RESEARCH CORPORATION,US-CA,"Special Industry Machinery, NEC",1,49.379419999999996
2023,80420,"Powell Industries, Inc.",US-TX,Switchgear & Switchboard Apparatus,7,0.7744800000000001
2024,1567514,"Intra-Cellular Therapies, Inc.",US-NJ,Pharmaceutical Preparations,2,-0.7467600000000001
2023,1348911,"KALVISTA PHARMACEUTICALS, INC.",US-MA,Pharmaceutical Preparations,2,-1.03298
2021,1003078,"MSC INDUSTRIAL DIRECT CO., INC.",US-NY,Wholesale-Industrial Machinery & Equipment,1,2.09984
2022,1040470,AEHR TEST SYSTEMS,US-CA,Instruments For Meas & Testing of  Electricity & Elec Signals,7,0.1235099999999999
2022,817720,SYNAPTICS INCORPORATED,US-CA,Semiconductors & Related Devices,7,2.164000000000002
2024,788329,Johnson Outdoors Inc.,US-WI,"Sporting & Athletic Goods, NEC",1,-0.0989
2024,910521,DECKERS OUTDOOR CORP,US-CA,Rubber & Plastics Footwear,1,9.42224999999998
2024,276720,PURE CYCLE CORPORATION,US-CO,Water Supply,0,0.09705
2024,1350593,"MUELLER WATER PRODUCTS, INC.",US-GA,Miscellaneous Fabricated Metal Products,1,1.742000000000002
2021,89439,"MUELLER INDUSTRIES, INC.",US-TN,Rolling Drawing & Extruding of  Nonferrous Metals,1,4.685199999999999
2024,1504008,"BankUnited, Inc.",US-FL,"Savings Institution, Federally Chartered",8,2.324669999999999
2022,1124140,EXACT SCIENCES CORPORATION,US-WI,Services-Medical Laboratories,9,-6.44521999999999
2024,1116132,"Tapestry, Inc.",US-NY,Leather & Leather Products,1,7.758000000000001
2021,74260,OLD REPUBLIC INTERNATIONAL CORPORATION,US-IL,Surety Insurance,9,15.341999999999992
2024,1058811,Immersion Corporation,US-FL,"Computer Peripheral Equipment, NEC",7,0.9022899999999999
2021,320193,Apple Inc.,US-CA,Electronic Computers,7,1017.479999999999
2023,859070,FIRST COMMUNITY BANKSHARES INC /VA/,US-VA,State Commercial Banks,4,0.4801999999999999
2022,900075,"COPART, INC.",US-TX,Retail-Auto Dealers & Gasoline Stations,6,10.96764999999999
2024,1074828,"KNOW LABS, INC.",US-WA,Finance Services,9,-0.1827009200000001
2022,1630113,BIOTRICITY INC.,US-CA,Surgical & Medical Instruments & Apparatus,1,-0.2109556400000001
2022,789019,MICROSOFT CORPORATION,US-WA,Services-Prepackaged Software,5,715.109999999999
2021,80424,PROCTER & GAMBLE CO,US-OH,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",2,148.7299999999997
2021,65312,"EVI Industries, Inc.",US-FL,Services-Personal Services,9,0.037970000000000004
2022,1598665,"Heritage Insurance Holdings, Inc.",US-FL,"Fire, Marine & Casualty Insurance",1,-1.5436399999999981
2021,1039280,"NETSOL TECHNOLOGIES, INC.",US-CA,Services-Prepackaged Software,5,0.0034829199999999987
2023,1297341,KENTUCKY FIRST FEDERAL BANCORP,US-KY,"Savings Institution, Federally Chartered",8,-0.0024799999999999996
2023,1126956,Spire Inc.,US-MO,Natural Gas Distribution,0,2.211000000000001
2024,72331,NORDSON CORPORATION,US-OH,"General Industrial Machinery & Equipment, NEC",1,4.47523
2021,785786,PLEXUS CORP.,US-WI,Printed Circuit Boards,7,1.20404
2022,34563,FARMER BROTHERS CO,US-TX,Miscellaneous Food Preparations & Kindred Products,2,-0.2906200000000001
2024,1376227,"United States Natural Gas Fund, LP",US-CA,Commodity Contracts Brokers & Dealers,3,0.65145775
2023,858877,"CISCO SYSTEMS, INC.",US-CA,Computer Communications Equipment,7,126.9599999999997
2024,765207,"FIRST BANCORP, INC",US-ME,National Commercial Banks,4,0.27044999999999997
2021,100493,"TYSON FOODS, INC.",US-AR,Poultry Slaughtering and Processing,1,30.94999999999994
2024,65270,"METHODE ELECTRONICS, INC.",US-IL,Electronic Connectors,7,-0.459
2021,1609258,PETROGAS COMPANY,US-TX,Crude Petroleum & Natural Gas,0,-1.05094729
2024,862668,Escalon Medical Corp.,US-PA,Electromedical & Electrotherapeutic Apparatus,1,-0.00110494
2024,1564708,NEWS CORPORATION,US-NY,Newspapers: Publishing or  Publishing & Printing,6,4.139999999999991
2023,723125,"Micron Technology, Inc.",US-ID,Semiconductors & Related Devices,7,-73.38
2021,1350593,"MUELLER WATER PRODUCTS, INC.",US-GA,Miscellaneous Fabricated Metal Products,1,0.6910000000000001
2023,1570132,"ANVI GLOBAL HOLDINGS, INC.",US-NC,Retail-Food Stores,6,-0.00185848
2021,1564708,NEWS CORPORATION,US-NY,Newspapers: Publishing or  Publishing & Printing,6,5.889999999999998
2021,849401,"ADM TRONICS UNLIMITED, INC.",US-NJ,Electromedical & Electrotherapeutic Apparatus,1,-0.0020809599999999998
2021,1078075,"NETSCOUT SYSTEMS, INC.",US-MA,Services-Computer Integrated Systems Design,5,0.733009999999999
2021,1438943,"RANGE IMPACT, INC.",US-OH,Heavy Construction Other Than Bldg Const - Contractors,1,0.02771800000000004
2021,771856,"CHAMPIONS ONCOLOGY, INC.",US-NJ,"Biological Products, (No Diagnostic Substances)",2,0.01850999999999999
2023,936395,Ciena Corp,US-MD,Telephone & Telegraph Apparatus,7,1.666669999999999
2022,1377789,"AVIAT NETWORKS, INC.",US-TX,Radio & Tv Broadcasting & Communications Equipment,7,0.1535799999999998
2023,1078075,"NETSCOUT SYSTEMS, INC.",US-MA,Services-Computer Integrated Systems Design,5,-0.6269700000000001
2021,1046257,INGREDION INCORPORATED,US-IL,Grain Mill Products,1,1.17
2023,1530721,CAPRI HOLDINGS LTD,GB-,Leather & Leather Products,1,4.6800000000000015
2024,47217,HP INC.,US-CA,Computer & office Equipment,1,24.51999999999997
2021,1529377,ARES COMMERCIAL REAL ESTATE CORPORATION,US-NY,Real Estate Investment Trusts,3,0.6046
2023,1486957,"BWX TECHNOLOGIES, INC.",US-VA,Engines & Turbines,1,2.4584900000000003
2021,857005,PTC Inc.,US-MA,Services-Prepackaged Software,5,2.577570000000001
2024,1319161,Warner Music Group Corp.,US-NY,Services-Amusement & Recreation Services,9,6.099999999999992
2022,1511737,UBIQUITI INC.,US-NY,Radio & Tv Broadcasting & Communications Equipment,7,3.060949999999999
2023,810136,"PHOTRONICS, INC.",US-CT,Semiconductors & Related Devices,7,1.45967
2024,80424,PROCTER & GAMBLE CO,US-OH,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",2,160.9699999999998
2022,1529377,ARES COMMERCIAL REAL ESTATE CORPORATION,US-NY,Real Estate Investment Trusts,3,0.29785
2021,772406,"CIRRUS LOGIC, INC.",US-TX,Semiconductors & Related Devices,7,2.55222
2024,66004,MIDDLESEX WATER COMPANY,US-NJ,Water Supply,0,0.44351
2022,1002047,"NetApp, Inc.",US-CA,Computer Storage Devices,7,12.809999999999981
2022,1530950,"Post Holdings, Inc.",US-MO,Grain Mill Products,1,9.555999999999989
2021,817720,SYNAPTICS INCORPORATED,US-CA,Semiconductors & Related Devices,7,1.3730000000000002
2023,1022408,ePlus inc.,US-VA,Wholesale-Computers & Peripheral Equipment & Software,1,1.29487
2024,38777,"FRANKLIN RESOURCES, INC.",US-CA,Investment Advice,3,6.3580000000000005
2024,48465,HORMEL FOODS CORPORATION,US-MN,Meat Packing Plants,1,7.1325499999999895
2024,868857,AECOM,US-TX,Services-Engineering Services,9,4.36594999999999
2021,1481504,"XERIANT, INC.",US-FL,Aircraft,1,-0.10643284
2024,918646,EAGLE MATERIALS INC,US-TX,"Cement, Hydraulic",0,5.0698799999999995
2022,1413837,FIRST FOUNDATION INC.,US-TX,State Commercial Banks,4,1.10512
2023,1436425,"HOME BANCORP, INC.",US-LA,"Savings Institutions, Not Federally Chartered",8,0.40240000000000004
2021,23217,"CONAGRA BRANDS, INC.",US-IL,Food and Kindred Products,6,11.25599999999996
2022,1116132,"Tapestry, Inc.",US-NY,Leather & Leather Products,1,7.70599999999999
2023,1175535,Whitestone REIT,US-TX,Real Estate Investment Trusts,3,0.19180000000000003
2024,1408534,"FIRST GUARANTY BANCSHARES, INC.",US-LA,"Savings Institution, Federally Chartered",8,0.12448
2023,1000230,OPTICAL CABLE CORPORATION,US-VA,Drawing & Insulating of  Nonferrous Wire,1,-0.0016875999999999992
2023,730263,"THOR Industries, Inc.",US-IN,Motor Homes,1,3.0221999999999998
2021,50292,IEH Corporation,US-NY,Electronic Connectors,7,0.029323779999999997
2022,1350593,"MUELLER WATER PRODUCTS, INC.",US-GA,Miscellaneous Fabricated Metal Products,1,0.991
2022,927653,McKESSON CORPORATION,US-TX,"Wholesale-Drugs, Proprietaries & Druggists' Sundries",6,27.66
2022,1039280,"NETSOL TECHNOLOGIES, INC.",US-CA,Services-Prepackaged Software,5,-0.03270595
2021,100378,TWIN DISC INC,US-WI,General Industrial Machinery & Equipment,1,-0.017279999999999997
2021,1633978,Lumentum Holdings Inc.,US-CA,"Communications Equipment, NEC",7,3.852
2021,862668,Escalon Medical Corp.,US-PA,Electromedical & Electrotherapeutic Apparatus,1,-0.00010864000000000013
2024,875582,NORTHERN TECHNOLOGIES INTERNATIONAL CORPORATION,US-MN,"Coating, Engraving & Allied Services",1,0.04215468
2024,1157075,"PHARMACYTE BIOTECH, INC.",US-NV,"Biological Products, (No Diagnostic Substances)",2,0.18286929999999998
2021,34563,FARMER BROTHERS CO,US-TX,Miscellaneous Food Preparations & Kindred Products,2,-0.3521200000000001
2021,1627223,The Chemours Company,US-DE,Chemicals & Allied Products,2,5.899999999999981
2021,1377789,"AVIAT NETWORKS, INC.",US-TX,Radio & Tv Broadcasting & Communications Equipment,7,1.0816
2021,715446,"ANIXA BIOSCIENCES, INC.",US-CA,Pharmaceutical Preparations,2,-0.11026
2022,32621,EMERSON RADIO CORP,US-NJ,Household Audio & Video Equipment,7,-0.026350000000000002
2022,913778,BF GARDEN TAX CREDIT FUND IV L.P.,US-MA,Operators of  Apartment Buildings,9,0.03220055
2023,711404,"The Cooper Companies, Inc.",US-CA,Ophthalmic Goods,1,2.9160000000000013
2021,1040470,AEHR TEST SYSTEMS,US-CA,Instruments For Meas & Testing of  Electricity & Elec Signals,7,0.012449999999999989
2022,807882,JACK IN THE BOX INC.,US-CA,Retail-Eating  Places,6,1.067640000000001
2022,890066,GLEN BURNIE BANCORP,US-MD,State Commercial Banks,4,0.01745000000000001
2021,1071840,"SOLARWINDOW TECHNOLOGIES, INC.",US-AZ,Industrial Organic Chemicals,2,-0.07088196000000001
2021,1169770,"BANC OF CALIFORNIA, INC.",US-CA,National Commercial Banks,4,0.6234600000000001
2022,833444,JOHNSON CONTROLS INTERNATIONAL PLC,IE-,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,1,8.87
2022,47217,HP INC.,US-CA,Computer & office Equipment,1,43.469999999999985
2021,935703,"DOLLAR TREE, INC.",US-VA,Retail-Variety Stores,6,10.90499999999997
2021,1078271,"EXTREME NETWORKS, INC.",US-NC,Computer Communications Equipment,7,0.32981
2022,1171155,"RADIANT LOGISTICS, INC.",US-WA,Arrangement of  Transportation of  Freight & Cargo,1,0.4040300000000001
2023,89439,"MUELLER INDUSTRIES, INC.",US-TN,Rolling Drawing & Extruding of  Nonferrous Metals,1,6.02897
2023,1024478,"Rockwell Automation, Inc.",US-WI,"Measuring & Controlling Devices, NEC",7,13.99399999999996
2022,80172,NATIONAL PRESTO INDUSTRIES INC,US-WI,"Ordnance & Accessories, (No Vehicles/Guided Missiles)",1,0.20699
2022,73290,"BIOMERICA, INC.",US-CA,In Vitro & In Vivo Diagnostic Substances,2,-0.03906336
2024,763532,LSI INDUSTRIES INC.,US-OH,Electric Lighting & Wiring Equipment,1,0.22357999999999978
2024,779152,"JACK HENRY & ASSOCIATES, INC.",US-MO,Services-Computer Integrated Systems Design,5,3.912339999999999
2021,73309,NUCOR CORPORATION,US-NC,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",1,68.27460999999998
2022,66756,"ALLETE, Inc.",US-MN,Electric & Other Services Combined,9,1.8930000000000011
2024,713425,"LOGILITY SUPPLY CHAIN SOLUTIONS, INC.",US-GA,Services-Prepackaged Software,5,0.07156
2024,857005,PTC Inc.,US-MA,Services-Prepackaged Software,5,3.346329999999997
2024,886128,"FUELCELL ENERGY, INC.",US-CT,Electrical Industrial Apparatus,1,-1.25786
2021,1209709,CERES TACTICAL SYSTEMATIC L.P.,US-NY,Commodity Contracts Brokers & Dealers,3,0.07117000000000011
2023,1517681,"PROPANC BIOPHARMA, INC.",AU-,Pharmaceutical Preparations,2,-0.02554868
2023,1472494,"United States Brent Oil Fund, LP",US-CA,Commodity Contracts Brokers & Dealers,3,-0.04091719000000013
2022,1564708,NEWS CORPORATION,US-NY,Newspapers: Publishing or  Publishing & Printing,6,2.710000000000002
2024,318299,"SPARTA COMMERCIAL SERVICES, INC.",US-NY,"Services-Business Services, NEC",9,-0.018845
2022,89439,"MUELLER INDUSTRIES, INC.",US-TN,Rolling Drawing & Extruding of  Nonferrous Metals,1,6.58316
